player_name,role,total_runs,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,percentage
TM Head,Batter,2645,2588,25,1062,1117,543,543,0,381,162,7,Australia,"505,06%"
SE Marsh,Batter,2622,3318,0,0,0,545,545,0,381,164,4,Australia,"441,27%"
MV Boucher,Batter,2617,2961,0,0,0,466,466,0,286,180,2,South Africa,"468,83%"
KA Pollard,Batter,2608,2877,59,2086,2226,429,429,0,165,264,4,West Indies,"474,96%"
Ahmed Shehzad,Batter,2555,3623,2,140,116,466,466,0,225,241,6,Pakistan,"413,16%"
L Lee,Batter,2516,3044,2,56,86,471,471,0,290,181,6,South Africa,"452,19%"
A Balbirnie,Batter,2438,3285,1,31,24,163,163,0,59,104,4,Ireland,"425,70%"
BL Mooney,Batter,2433,2872,0,0,0,533,533,0,372,161,4,Australia,"458,19%"
SC Ganguly,Batter,2409,3429,22,864,1015,573,573,0,356,217,5,India,"412,36%"
SS Iyer,Batter,2396,2444,0,39,39,576,576,0,357,219,4,India,"494,73%"
HE van der Dussen,Batter,2388,2806,1,3,6,472,472,0,291,181,3,South Africa,"459,32%"
AD Hales,Batter,2330,2483,0,0,0,515,515,0,294,221,5,England,"483,70%"
Shubman Gill,Batter,2328,2351,0,25,18,560,560,0,347,213,4,India,"496,59%"
Abdul Razzaq,Batter,2327,2689,110,3694,4518,464,464,0,224,240,9,Pakistan,"462,99%"
HK Matthews,Batter,2327,3096,83,2210,3025,428,428,0,165,263,10,West Indies,"428,78%"
RD Berrington,Batter,2292,3082,15,647,762,101,101,0,54,47,4,Scotland,"426,10%"
Sarfraz Ahmed,Batter,2289,2673,0,15,12,467,467,0,226,241,5,Pakistan,"461,03%"
KJ Coetzer,Batter,2280,2826,1,132,169,101,101,0,54,47,3,Scotland,"446,10%"
MM Ali,Batter,2278,2418,119,5303,5935,519,519,0,295,224,5,England,"484,99%"
Mohammad Rizwan,Batter,2254,2580,0,0,0,462,462,0,223,239,1,Pakistan,"465,89%"
Imrul Kayes,Batter,2242,3268,0,0,0,345,345,0,134,211,4,Bangladesh,"406,53%"
DR Martyn,Batter,2239,2970,1,78,90,540,540,0,378,162,5,Australia,"429,26%"
M du Preez,Batter,2223,3194,1,22,18,471,471,0,290,181,7,South Africa,"409,77%"
M Kapp,Batter,2195,2573,133,3154,4729,471,471,0,290,181,8,South Africa,"459,88%"
Salman Butt,Batter,2186,2932,0,90,72,469,469,0,227,242,5,Pakistan,"426,79%"
Liton Das,Batter,2178,2583,0,0,0,336,336,0,132,204,4,Bangladesh,"456,99%"
JO Holder,Batter,2144,2431,162,5712,6205,429,429,0,165,264,5,West Indies,"468,12%"
SP Fleming,Batter,2133,3036,0,0,0,441,441,0,229,212,5,New Zealand,"412,49%"
V Sibanda,Batter,2125,3467,4,267,276,276,276,0,66,210,2,Zimbabwe,"379,87%"
HM Nicholls,Batter,2116,2679,0,0,0,437,437,0,227,210,2,New Zealand,"440,47%"
A Flintoff,Batter,2096,2366,132,2682,3784,509,509,0,291,218,9,England,"469,43%"
S Luus,Batter,2080,3186,84,2006,2630,471,471,0,290,181,3,South Africa,"394,91%"
D Ramdin,Batter,2072,2636,0,0,0,426,426,0,165,261,1,West Indies,"439,73%"
AE Jones,Batter,2071,2480,0,0,0,513,513,0,292,221,4,England,"454,77%"
CL White,Batter,2053,2583,11,331,318,539,539,0,377,162,3,Australia,"442,36%"
Soumya Sarkar,Batter,2044,2145,20,545,543,336,336,0,132,204,5,Bangladesh,"487,36%"
CS MacLeod,Batter,2015,2570,8,635,774,101,101,0,54,47,5,Scotland,"439,09%"
ME Trescothick,Batter,1997,2480,2,149,155,518,518,0,295,223,4,England,"445,66%"
KJ O'Brien,Batter,1990,2151,60,2221,2392,164,164,0,60,104,4,Ireland,"480,44%"
CJ Chibhabha,Batter,1987,3130,30,1379,1417,275,275,0,66,209,1,Zimbabwe,"388,16%"
AT Carey,Batter,1978,2257,0,0,0,543,543,0,381,162,2,Australia,"466,73%"
MS Atapattu,Batter,1978,2960,0,0,0,509,509,0,236,273,3,Sri Lanka,"400,00%"
H Klaasen,Batter,1977,1719,0,33,30,469,469,0,289,180,7,South Africa,"534,18%"
RL Haynes,Batter,1966,2485,2,34,24,527,527,0,367,160,5,Australia,"441,50%"
LMP Simmons,Batter,1958,2741,1,172,163,426,426,0,165,261,2,West Indies,"416,51%"
Bismah Maroof,Batter,1938,3063,12,498,666,459,459,0,221,238,2,Pakistan,"387,29%"
Inzamam-ul-Haq,Batter,1916,2482,0,0,0,464,464,0,224,240,3,Pakistan,"435,26%"
E Lewis,Batter,1903,2219,0,0,0,429,429,0,165,264,4,West Indies,"461,56%"
BC Lara,Batter,1878,2455,0,0,0,424,424,0,164,260,1,West Indies,"433,12%"
AC Kerr,Batter,1854,2473,97,2891,3719,433,433,0,225,208,3,New Zealand,"427,98%"
DJG Sammy,Batter,1853,1926,87,3842,4891,427,427,0,165,262,5,West Indies,"489,69%"
EC Joyce,Batter,1845,2666,0,0,0,164,164,0,60,104,5,Ireland,"408,82%"
V Aravind,Batter,1843,2741,0,0,0,99,99,0,34,65,2,United Arab Emirates,"401,96%"
N Pooran,Batter,1829,1913,6,174,178,429,429,0,165,264,1,West Indies,"488,38%"
KIC Asalanka,Batter,1810,2090,16,388,486,495,495,0,230,265,3,Sri Lanka,"463,86%"
P Nissanka,Batter,1810,2152,0,0,0,495,495,0,230,265,2,Sri Lanka,"456,26%"
MG Erasmus,Batter,1810,2308,34,921,1286,55,55,0,26,29,5,Namibia,"439,43%"
Azhar Ali,Batter,1806,2478,4,262,264,468,468,0,227,241,1,Pakistan,"421,27%"
MS Wade,Batter,1792,2226,0,0,0,535,535,0,374,161,3,Australia,"445,33%"
MD Patel,Batter,1792,2239,0,0,0,64,64,0,30,34,6,United States of America,"444,44%"
A Vala,Batter,1783,2594,47,1320,2017,63,63,0,12,51,1,Papua New Guinea,"407,17%"
M Labuschagne,Batter,1764,2130,6,284,254,543,543,0,381,162,2,Australia,"452,54%"
HH Pandya,Batter,1762,1636,81,2919,3218,572,572,0,355,217,4,India,"517,93%"
Yousuf Youhana,Batter,1740,2208,0,1,1,464,464,0,224,240,4,Pakistan,"440,51%"
Haris Sohail,Batter,1709,2010,13,593,613,468,468,0,227,241,2,Pakistan,"459,29%"
NJ O'Brien,Batter,1692,2394,0,0,0,161,161,0,57,104,2,Ireland,"413,69%"
MP O'Dowd,Batter,1682,2441,1,129,127,90,90,0,29,61,4,Netherlands,"407,56%"
DN Wyatt,Batter,1680,1851,14,447,537,513,513,0,292,221,4,England,"475,25%"
DJS Dottin,Batter,1679,2070,53,1209,1496,428,428,0,165,263,4,West Indies,"447,73%"
HG Munsey,Batter,1675,1967,0,0,0,101,101,0,54,47,1,Scotland,"459,53%"
MH Cross,Batter,1675,2464,0,0,0,101,101,0,54,47,3,Scotland,"404,59%"
DJ Hussey,Batter,1672,1912,19,694,791,545,545,0,381,164,1,Australia,"465,74%"
SJ Taylor,Batter,1651,1932,0,0,0,507,507,0,291,216,6,England,"460,40%"
AT Rayudu,Batter,1637,2143,3,128,124,575,575,0,356,219,3,India,"432,50%"
RK Paudel,Batter,1629,2224,10,238,346,65,65,0,33,32,5,Nepal,"422,68%"
KD Karthik,Batter,1624,2275,0,0,0,569,569,0,352,217,1,India,"416,52%"
HT Tector,Batter,1622,1931,2,149,148,163,163,0,59,104,0,Ireland,"456,52%"
DJ Mitchell,Batter,1616,1673,13,293,315,431,431,0,224,207,0,New Zealand,"491,19%"
N Dickwella,Batter,1604,1758,0,0,0,512,512,0,237,275,1,Sri Lanka,"476,39%"
Sidra Ameen,Batter,1595,2530,0,0,0,459,459,0,221,238,5,Pakistan,"386,48%"
MD Gunathilaka,Batter,1592,1899,8,375,405,507,507,0,236,271,2,Sri Lanka,"455,77%"
OA Shah,Batter,1579,1963,7,184,199,502,502,0,287,215,2,England,"445,16%"
NJ Astle,Batter,1571,2078,8,346,404,434,434,0,225,209,5,New Zealand,"430,29%"
T Bavuma,Batter,1548,1774,0,22,37,443,443,0,272,171,2,South Africa,"465,56%"
J Charles,Batter,1544,1840,0,12,7,430,430,0,166,264,3,West Indies,"455,86%"
UT Khawaja,Batter,1539,1865,0,0,0,542,542,0,380,162,3,Australia,"451,98%"
JDS Neesham,Batter,1508,1538,71,2573,2512,439,439,0,228,211,1,New Zealand,"494,91%"
CK Kapugedera,Batter,1505,2157,2,226,271,510,510,0,237,273,1,Sri Lanka,"410,64%"
SA Edwards,Batter,1504,1659,0,0,0,90,90,0,29,61,3,Netherlands,"475,35%"
MP Stoinis,Batter,1489,1622,48,2067,2073,543,543,0,381,162,1,Australia,"478,01%"
Yasir Hameed,Batter,1459,2225,0,0,0,464,464,0,224,240,4,Pakistan,"395,39%"
NE Bolton,Batter,1443,2069,2,37,30,516,516,0,360,156,6,Australia,"410,41%"
CL Tryon,Batter,1440,1344,40,1445,1914,464,464,0,285,179,4,South Africa,"516,68%"
PG Raut,Batter,1436,2350,0,0,0,578,578,0,359,219,3,India,"378,79%"
WA Young,Batter,1426,1655,0,0,0,416,416,0,219,197,5,New Zealand,"462,09%"
Aasif Sheikh,Batter,1423,1943,0,0,0,65,65,0,33,32,5,Nepal,"422,26%"
DJ Malan,Batter,1418,1504,1,17,15,519,519,0,295,224,4,England,"484,79%"
Nasir Jamshed,Batter,1418,1931,0,0,0,466,466,0,225,241,3,Pakistan,"423,03%"
T Chetty,Batter,1414,2064,0,0,0,471,471,0,290,181,3,South Africa,"406,09%"
SO Hetmyer,Batter,1410,1335,0,0,0,429,429,0,165,264,4,West Indies,"513,29%"
Javeria Khan,Batter,1408,2289,8,271,299,463,463,0,223,240,2,Pakistan,"380,54%"
ML Green,Batter,1407,2078,0,81,79,433,433,0,225,208,3,New Zealand,"403,04%"
WIA Fernando,Batter,1404,1653,0,0,0,511,511,0,237,274,6,Sri Lanka,"458,67%"
Rohan Mustafa,Batter,1401,2261,87,2654,3508,99,99,0,34,65,4,United Arab Emirates,"382,37%"
Waseem Muhammad,Batter,1398,1628,0,96,75,99,99,0,34,65,2,United Arab Emirates,"461,84%"
L Ronchi,Batter,1397,1241,0,0,0,439,439,0,228,211,1,New Zealand,"529,17%"
MP Vaughan,Batter,1382,2118,9,429,522,509,509,0,291,218,2,England,"394,63%"
Jatinder Singh,Batter,1356,1900,1,37,43,52,52,0,27,25,2,Oman,"416,21%"
GH Lewis,Batter,1348,2043,8,373,390,162,162,0,58,104,2,Ireland,"397,29%"
JR Hopes,Batter,1326,1436,73,2414,3132,545,545,0,381,164,2,Australia,"479,74%"
Anamul Haque,Batter,1322,1785,0,0,0,342,342,0,134,208,2,Bangladesh,"425,08%"
KM Jadhav,Batter,1318,1307,28,1005,1173,576,576,0,357,219,3,India,"501,90%"
M Kaif,Batter,1314,2062,0,0,0,570,570,0,353,217,1,India,"389,22%"
Asad Shafiq,Batter,1312,1986,0,18,12,460,460,0,222,238,0,Pakistan,"397,82%"
S Matsikenyeri,Batter,1309,1968,15,563,687,266,266,0,64,202,0,Zimbabwe,"399,09%"
MA Leask,Batter,1306,1173,64,1789,2184,101,101,0,54,47,3,Scotland,"525,98%"
BA King,Batter,1306,1576,0,0,0,430,430,0,166,264,4,West Indies,"451,75%"
Mashrafe Mortaza,Batter,1304,1609,227,7441,8756,343,343,0,134,209,9,Bangladesh,"447,03%"
M van Lingen,Batter,1300,1442,2,65,76,55,55,0,26,29,4,Namibia,"472,90%"
HH Dippenaar,Batter,1283,1903,0,0,0,445,445,0,272,173,7,South Africa,"402,57%"
LPC Silva,Batter,1279,1805,1,34,44,496,496,0,231,265,1,Sri Lanka,"414,59%"
Fargana Hoque,Batter,1275,2581,0,0,0,333,333,0,130,203,1,Bangladesh,"330,40%"
DR Smith,Batter,1261,1430,53,1888,2257,426,426,0,165,261,3,West Indies,"468,60%"
Sabbir Rahman,Batter,1259,1395,3,337,289,335,335,0,132,203,0,Bangladesh,"474,38%"
C Munro,Batter,1249,1207,9,483,563,439,439,0,228,211,0,New Zealand,"507,93%"
JD Ryder,Batter,1242,1294,11,357,359,435,435,0,226,209,3,New Zealand,"489,55%"
RR Rossouw,Batter,1239,1341,1,44,46,451,451,0,277,174,1,South Africa,"480,05%"
GC Wilson,Batter,1232,1653,0,0,0,164,164,0,60,104,1,Ireland,"426,89%"
Imran Farhat,Batter,1232,1909,2,44,51,467,467,0,226,241,1,Pakistan,"392,11%"
MJ Prior,Batter,1229,1652,0,0,0,503,503,0,288,215,1,England,"426,14%"
DP Conway,Batter,1226,1410,0,0,0,431,431,0,224,207,3,New Zealand,"464,22%"
IK Pathan,Batter,1226,1548,156,4419,5050,563,563,0,348,215,5,India,"441,48%"
PG Fulton,Batter,1216,1726,0,0,0,443,443,0,231,212,3,New Zealand,"412,90%"
Shahriar Nafees,Batter,1216,1817,0,0,0,345,345,0,134,211,3,Bangladesh,"400,79%"
Aliya Riaz,Batter,1207,1896,13,806,894,463,463,0,223,240,1,Pakistan,"388,73%"
RS Morton,Batter,1205,1872,0,2,6,408,408,0,157,251,2,West Indies,"391,49%"
TP Ura,Batter,1196,1526,0,12,6,63,63,0,12,51,1,Papua New Guinea,"439,06%"
Vikramjit Singh,Batter,1190,1692,7,261,257,90,90,0,29,61,2,Netherlands,"412,19%"
Mehedi Hasan Miraz,Batter,1188,1516,107,3511,4240,336,336,0,132,204,5,Bangladesh,"438,86%"
K Bhurtel,Batter,1182,1498,12,292,361,65,65,0,33,32,3,Nepal,"441,04%"
Raqibul Hasan,Batter,1177,1910,0,0,0,337,337,0,132,205,0,Bangladesh,"380,78%"
A Gardner,Batter,1175,1168,103,2068,3018,527,527,0,367,160,4,Australia,"501,07%"
Nida Dar,Batter,1171,1784,62,2224,2917,463,463,0,223,240,2,Pakistan,"396,14%"
SA Campbelle,Batter,1167,1948,4,130,195,420,420,0,163,257,1,West Indies,"374,40%"
Nazmul Hossain Shanto,Batter,1165,1457,1,59,72,329,329,0,127,202,2,Bangladesh,"444,15%"
KJ Martin,Batter,1161,1536,0,0,0,426,426,0,222,204,1,New Zealand,"429,84%"
Asif Khan,Batter,1155,1426,0,0,0,99,99,0,34,65,4,United Arab Emirates,"447,33%"
MD Shanaka,Batter,1153,1317,22,844,938,498,498,0,231,267,1,Sri Lanka,"466,80%"
Nahida Khan,Batter,1121,1760,0,12,12,456,456,0,221,235,0,Pakistan,"389,10%"
RW Chakabva,Batter,1106,1650,0,0,0,274,274,0,66,208,0,Zimbabwe,"400,72%"
L Vincent,Batter,1089,1593,1,22,18,434,434,0,225,209,4,New Zealand,"405,89%"
F Behardien,Batter,1074,1114,12,694,716,463,463,0,284,179,1,South Africa,"490,41%"
S Samarawickrama,Batter,1073,1184,0,0,0,495,495,0,230,265,2,Sri Lanka,"475,20%"
WW Hinds,Batter,1066,1626,22,515,626,424,424,0,164,260,1,West Indies,"395,69%"
Aftab Ahmed,Batter,1061,1451,4,379,411,344,344,0,134,210,2,Bangladesh,"421,70%"
CM Edwards,Batter,1054,1464,2,51,48,507,507,0,291,216,4,England,"418,25%"
JI Rodrigues,Batter,1051,1299,5,13,39,578,578,0,359,219,2,India,"447,04%"
FDM Karunaratne,Batter,1044,1363,0,18,16,511,511,0,237,274,1,Sri Lanka,"433,73%"
SM Katich,Batter,1041,1517,0,0,0,537,537,0,376,161,0,Australia,"406,80%"
MN Waller,Batter,1039,1383,9,497,580,261,261,0,62,199,1,Zimbabwe,"428,98%"
RP Arnold,Batter,1039,1491,8,326,352,509,509,0,236,273,0,Sri Lanka,"409,86%"
AD Russell,Batter,1034,805,72,2235,2362,426,426,0,165,261,5,West Indies,"561,65%"
Aarif Sheikh,Batter,1032,1648,8,589,762,65,65,0,33,32,2,Nepal,"385,07%"
Junaid Siddique,Batter,1021,1531,77,2137,2575,99,99,0,34,65,0,United Arab Emirates,"400,08%"
KU Carty,Batter,1000,1317,0,28,27,430,430,0,166,264,0,West Indies,"431,41%"
KH Prajapati,Batter,996,1351,0,1,2,51,51,0,27,24,1,Oman,"424,19%"
C Kieswetter,Batter,985,1130,0,0,0,517,517,0,295,222,1,England,"465,50%"
DS Smith,Batter,973,1379,0,17,18,414,414,0,161,253,1,West Indies,"413,34%"
JN Malan,Batter,958,1177,0,0,0,458,458,0,282,176,2,South Africa,"448,29%"
AJ Blackwell,Batter,953,1258,0,0,0,516,516,0,360,156,2,Australia,"430,64%"
CJA Amini,Batter,952,1545,33,1298,1620,63,63,0,12,51,2,Papua New Guinea,"381,26%"
Muneeba Ali,Batter,948,1609,0,0,0,463,463,0,223,240,0,Pakistan,"370,75%"
Shaiman Anwar,Batter,947,1162,5,136,117,97,97,0,33,64,0,United Arab Emirates,"448,39%"
JM How,Batter,939,1449,0,0,0,444,444,0,231,213,3,New Zealand,"392,72%"
G Singh,Batter,938,1155,6,97,113,64,64,0,30,34,3,United States of America,"448,16%"
Imad Wasim,Batter,937,860,44,1936,2388,462,462,0,223,239,0,Pakistan,"519,69%"
MG Johnson,Batter,934,1002,243,5977,7537,545,545,0,381,164,6,Australia,"482,44%"
RV Uthappa,Batter,934,1070,0,0,2,573,573,0,356,217,0,India,"466,07%"
KOA Powell,Batter,934,1191,0,0,0,427,427,0,165,262,0,West Indies,"439,12%"
RR Hendricks,Batter,930,1211,1,47,42,472,472,0,291,181,2,South Africa,"433,97%"
Nigar Sultana,Batter,927,1899,0,0,0,333,333,0,130,203,2,Bangladesh,"328,03%"
Habibul Bashar,Batter,926,1671,0,0,0,343,343,0,134,209,0,Bangladesh,"356,43%"
Chirag Suri,Batter,924,1472,0,0,0,95,95,0,33,62,1,United Arab Emirates,"385,48%"
NT Broom,Batter,919,1168,0,0,0,443,443,0,231,212,1,New Zealand,"440,13%"
R Powell,Batter,915,1054,3,261,256,425,425,0,164,261,1,West Indies,"464,47%"
CP Rizwan,Batter,901,1573,1,51,61,98,98,0,34,64,1,United Arab Emirates,"364,04%"
SJ Modani,Batter,898,1460,0,6,12,64,64,0,30,34,1,United States of America,"380,19%"
P Litchfield,Batter,895,1142,0,0,0,533,533,0,372,161,4,Australia,"438,73%"
BJ McMullen,Batter,888,1058,39,724,1048,85,85,0,46,39,3,Scotland,"456,32%"
Muhammad Usman,Batter,888,1212,0,0,0,95,95,0,33,62,0,United Arab Emirates,"422,66%"
Ishan Kishan,Batter,886,890,0,0,0,553,553,0,341,212,1,India,"498,03%"
